Type: PE
Buffering...
Parsing executable...
$ Lib Name: KERNEL32.dll
Entries:  829
3b35c : WriteConsoleInputA
3afc6 : WriteConsoleInputVDMA
3afe2 : WriteConsoleInputVDMW
3b378 : WriteConsoleInputW
3ba30 : WriteConsoleOutputA
3bd6e : WriteConsoleOutputAttribute
3bd30 : WriteConsoleOutputCharacterA
3bd4f : WriteConsoleOutputCharacterW
3ba13 : WriteConsoleOutputW
3a66e : WriteConsoleW
1629c : WriteFile
16bd8 : WriteFileEx
16d15 : WriteFileGather
1162e : WritePrivateProfileSectionA
118b1 : WritePrivateProfileSectionW
1155d : WritePrivateProfileStringA
117dc : WritePrivateProfileStringW
1110d : WritePrivateProfileStructA
11208 : WritePrivateProfileStructW
277a2 : WriteProcessMemory
11374 : WriteProfileSectionA
113e5 : WriteProfileSectionW
11348 : WriteProfileStringA
113b9 : WriteProfileStringW
380f2 : WriteTapemark
1ee73 : _hread
1ee9a : _hwrite
1eed5 : _lclose
1ee49 : _lcreat
1eeeb : _llseek
1edfe : _lopen
1ee73 : _lread
1ee9a : _lwrite
1f110 : lstrcat
1f110 : lstrcatA
1f27a : lstrcatW
1ef1d : lstrcmp
1ef1d : lstrcmpA
aac2 : lstrcmpW
1efa8 : lstrcmpi
1efa8 : lstrcmpiA
b2cb : lstrcmpiW
1f017 : lstrcpy
1f017 : lstrcpyA
ab26 : lstrcpyW
1f087 : lstrcpyn
1f087 : lstrcpynA
1f1ea : lstrcpynW
1f18a : lstrlen
1f18a : lstrlenA
1f2d5 : lstrlenW
$ Bye!
